id,full_name,email,role_id,is_active,created_at,updated_at
11111111-1111-1111-1111-111111111111,Admin Demo,admin.demo@example.com,1,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
22222222-2222-2222-2222-222222222222,Instructor Demo,instructor.demo@example.com,2,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
33333333-3333-3333-3333-000000000001,Alumno Seed 1,student1+seed@example.com,3,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
33333333-3333-3333-3333-000000000002,Alumno Seed 2,student2+seed@example.com,3,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
33333333-3333-3333-3333-000000000003,Alumno Seed 3,student3+seed@example.com,3,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
33333333-3333-3333-3333-000000000004,Alumno Seed 4,student4+seed@example.com,3,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
33333333-3333-3333-3333-000000000005,Alumno Seed 5,student5+seed@example.com,3,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
33333333-3333-3333-3333-000000000006,Alumno Seed 6,student6+seed@example.com,3,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
33333333-3333-3333-3333-000000000007,Alumno Seed 7,student7+seed@example.com,3,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
33333333-3333-3333-3333-000000000008,Alumno Seed 8,student8+seed@example.com,3,true,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z
